item_id,item_label,reason
Q112593459,data sonification music,"compositional technique converting data into sound, not a genre"
Q5597175,graphical sound,"compositional/synthesis technique (drawing sound waveforms directly), not a genre"
Q111036463,molecular music,"compositional technique converting molecular/chemical data into music, not a genre"
Q108297220,conducted improvisation,"performance technique (conductor-directed collective improvisation), not a genre"
Q5969884,tape music,"compositional/production technique (tape manipulation), not a genre"
Q7306376,reductionism,"compositional approach (extreme minimalism, quiet dynamics, silence), not a genre"
Q135933707,musical proverb,"song-text compositional form (setting proverbs to music), not a genre"
Q28039559,Domestic chant,"liturgical chant performance context/form, not a genre"
Q4666464,Abecedarian hymn,"hymn compositional form (alphabet-acrostic structure), not a genre"
Q15362491,moresca,"Renaissance dance/song performance form (Moorish-parody combat mime), not a genre"
Q685884,vocal music,"broad performance-medium category (music performed by voice), not a genre itself; manual triage per user"
Q1202801,écossaise,"Wikidata classifies it simultaneously as musical form, type of dance, and music genre (subclass of Scottish country dance / contra dance); a classical-era dance form/technique rather than a genre with its own regional home"
Q632964,tiento,"Iberian classical keyboard composition form (distinct from the flamenco palo), not a genre"
Q9748,concerto,"large-scale instrumental form (soloist(s) plus ensemble), not a genre"
Q9734,symphony,"large-scale orchestral form, not a genre"
Q1889001,organ symphony,"large-scale organ composition form, not a genre"
Q647653,divertimento,"light multi-movement instrumental form, not a genre"
Q1735204,cassation,"18th-century multi-movement instrumental form, not a genre"
Q41270,cavatina,"short operatic aria form, not a genre"
Q383904,arietta,"short aria form, not a genre"
Q564848,aria di sorbetto,"minor-character operatic aria form, not a genre"
Q21998394,catalogue aria,"operatic aria form built as an enumerated list, not a genre"
Q2941721,catch,"English round-singing form, not a genre"
Q5158512,concert aria,"standalone concert-performance aria form, not a genre"
Q6037387,insertion aria,"aria composed for insertion into another work, a compositional practice not a genre"
Q106103953,instrumental aria,"instrumental piece styled after vocal aria form, not a genre"
Q5104948,Chorale concerto,"early Baroque sacred vocal-instrumental form, not a genre"
Q1314422,sacred concerto,"Baroque sacred vocal-instrumental form, not a genre"
Q658334,barcarolle,"Venetian boat-song instrumental/vocal form, not a genre"
Q819325,bergamask,"16th-century Italian dance form, not a genre"
Q758422,aubade,"morning-song form, not a genre"
Q64152411,pas redouble,"quick-march tempo designation, not a genre"
Q3247534,voluntary,"organ piece form for liturgical use, not a genre"
Q3975956,street cry,"vendor call-singing technique, not a genre"
Q4854619,bandish,"fixed melodic composition form in Hindustani classical music, not a genre"
Q1370720,humoresque,"short character-piece form, not a genre"
Q781470,intermezzo,"short interlude piece form, not a genre"
Q2094385,postlude,"closing piece form, not a genre"
Q1417272,rondeau,"musical/poetic form built on a refrain, not a genre"
Q1243912,quodlibet,"composition combining multiple existing melodies, not a genre"
Q11481323,perpetuum mobile,"continuous rapid-note instrumental form, not a genre"
Q131624620,piano piece in one movement,"structural form descriptor, not a genre"
Q1746023,piano quintet,"instrumentation/ensemble descriptor, not a genre"
Q15991004,tombeau,"memorial instrumental piece form, not a genre"
Q177771,threnody,"funeral lament form, not a genre"
Q1229479,lamentation,"mournful vocal/instrumental piece form, not a genre"
Q3843655,couplet,"French cabaret verse-refrain song form, not a genre"
Q1236108,epinikion,"ancient Greek victory-ode form, not a genre"
Q140377109,embatērion,"ancient Greek marching-song form, not a genre"
Q106343615,citharodia,"ancient Greek performance practice (singing to kithara accompaniment), not a genre"
Q1369726,estampie,"medieval dance/instrumental form, not a genre"
Q944800,frottola,"Renaissance Italian song form, not a genre"
Q3635495,Barzelletta,"Renaissance Italian song form (frottola-adjacent), not a genre"
Q602859,Lamentations of Jeremiah the Prophet,"genre category for musical settings of a specific liturgical text, not a genre itself"
Q112112926,Marian antiphon,"liturgical chant form (antiphon addressed to Mary), not a genre"
Q1467193,musical poem,"programmatic single-movement instrumental form (symphonic-poem-adjacent), not a genre"
Q11410717,lyric song,"song form distinguished by lyric (as opposed to narrative) poetic content, not a genre"
Q25616123,lúibín,"Irish sung-poetry form, not a genre"
Q2596399,illustrated song,"historical performance format (song accompanied by projected slides), not a genre"
Q64151977,Concert polka,"concert-performance variant of the polka form, not a distinct genre"
Q1516324,fast polka,"tempo-variant of the polka form, not a distinct genre"
Q2259405,Fescennine Verses,"ancient Roman improvised verse form, not a genre"
Q1208331,Gebrauchsmusik,"compositional aesthetic concept (music written for utilitarian purpose, coined around Hindemith), not a genre"
Q3797148,In Nomine,"English Renaissance instrumental form built on a plainchant cantus firmus, not a genre"
Q48999297,Rage aria,"Baroque operatic aria form (aria di furia), not a genre"
Q250090,Ruba'i,"Persian/Arabic quatrain poetic form set to music, not a genre"
Q406714,air,"melody-focused instrumental/vocal piece form, not a genre"
Q5661311,aire,"Spanish/Latin American song form (air-adjacent), not a genre"
Q211745,atonality,"compositional approach (absence of a tonal center), not a genre"
Q788016,autonomous music,"aesthetic concept (music independent of extramusical reference, absolute-music-adjacent), not a genre"
Q213608,beatboxing,"vocal percussion performance technique, not a genre"
Q2281713,cantiga,"medieval Iberian song form, not a genre"
Q1288193,cantilena,"smooth melodic vocal/instrumental passage form, not a genre"
Q12367419,choir singing,"performance practice (singing in a choir), not a genre"
Q96870628,concerto for orchestra,"large-scale instrumental form (concerto subtype), not a genre"
Q210216,concerto grosso,"Baroque instrumental form (concerto subtype), not a genre"
Q15810872,frühlingslied,"German Romantic-era 'spring song' piece form, not a genre"
Q1432836,furiant,"fast Bohemian dance-rhythm form, not a genre"
Q123397869,hymn setting,"compositional practice (setting a hymn text to music), not a genre"
Q5956785,hymn tune,"melody component of a hymn, not a genre"
Q3240930,lilting,"Irish/Scottish wordless vocal performance technique (mouth music), not a genre"
Q11787377,mechanical music,"music produced by mechanical instruments (music boxes, player pianos), a production medium not a genre"
Q1049625,musical improvisation,"performance technique, not a genre"
Q3337088,musical naturalism,"compositional aesthetic concept, not a genre"
Q442133,old classical vocal polyphony,"historic polyphonic vocal style/period descriptor, not a genre"
Q599877,organum,"medieval polyphonic compositional technique, not a genre"
Q11813406,pastiche,"compositional imitation technique, not a genre"
Q1136846,sinfonia concertante,"large-scale instrumental form (symphony/concerto hybrid), not a genre"
Q15077165,sinfonietta,"small-scale symphonic form, not a genre"
Q1510942,vocalise,"wordless vocal piece form, not a genre"
Q2534837,votive mass,"liturgical mass form for a specific occasion, not a genre"
Q6129214,war symphony,"symphony subtype organized around a wartime theme/form, not a distinct genre"
Q491621,tusch,"short fanfare flourish form (Central European), not a genre"
Q332478,absolute music,"aesthetic concept (music with no extramusical reference), not a genre"
Q1033813,cantilena,"medieval European vocal/song form, not a distinct genre; matches classification of sibling Q1288193"
Q389993,intuitive music,"improvisational performance approach/technique, not a genre"
Q130344249,Type Beat,"YouTube-era production/labeling convention (beat made ""in the style of"" an artist), not a genre"
Q8043468,Xenharmonic music,"use of alternative/microtonal tuning systems, not a distinct genre; applicable across many styles"
Q119517804,sped-up music,"tempo-manipulation remix technique (speeding up existing tracks), not a genre itself"
Q107194780,break-in,"novelty-record production technique (interview-style sample splicing pioneered by Dickie Goodman), not a genre itself"
Q1547148,bugle call,"functional military signal form, not a genre"
Q23687321,choir work,"ensemble/form descriptor (piece written for choir), not a genre"
Q1076513,choral music,"ensemble-medium descriptor (music performed by a choir), not a genre"
Q2142754,choral symphony,"large-scale form (symphony with choral movement), not a genre"
Q724473,chorale,"hymn-tune form (Lutheran congregational melody), not a genre"
Q5146983,collegiate a cappella,"context/ensemble subtype of the a cappella technique, not a genre"
Q140451598,contemporary a cappella,"context/ensemble subtype of the a cappella technique, not a genre"
Q3246270,dirge,"funeral lament form, not a genre"
Q5332963,eclecticism in music,"compositional aesthetic concept (mixing styles), not a genre"
Q4752840,fife and drum corps,"ensemble/functional (military/marching) tradition, not a genre"
Q21998559,instrumental solo piece,"structural form descriptor, not a genre"
Q211025,march,"tempo/form descriptor for marching music, not a genre"
Q48445,mashup,"production technique (combining two or more existing songs), not a genre"
Q1123037,nursery rhyme,"category of song by function/context (children's oral tradition), not a genre"
Q85477,oratorio,"large-scale sacred vocal-instrumental form, not a genre"
Q12138989,part concerto,"instrumental form (concerto subtype), not a genre"
Q1744304,sound collage,"production technique (combining recorded sounds), not a genre"
Q1136047,torch song,"song form/convention (unrequited-love ballad), not a genre"
Q1123734,Concentus,"liturgical chant classification term (parts of the Mass sung by the choir, as opposed to accentus), not a genre"
Q5158522,Concert march,"march form intended for concert performance rather than marching, not a genre"
Q5530446,Gelineau psalmody,"specific method of chanting psalms (Joseph Gelineau's system), not a genre"
Q6554176,Lining out,"hymn-singing performance practice (leader lines out text, congregation repeats), not a genre"
Q338779,accentus,"liturgical chant classification term (parts of the Mass sung by the celebrant, as opposed to concentus), not a genre"
Q2853325,antiphonal singing,"performance practice (alternating choirs/voices), not a genre"
Q123397937,chorale melody,"melodic form associated with the chorale, not a genre"
Q5160756,congregational singing,"performance practice (whole congregation singing together), not a genre"
Q5507307,fuguing tune,"compositional form (American hymnody with imitative/fuguing sections), not a genre"
Q1677377,funeral march,"march form for funeral processions, not a genre"
Q139564613,handbell music,"ensemble/instrumentation descriptor (music performed on handbells), not a genre"
Q1678395,hunting signal,"functional signal call (hunting), not a genre"
Q12105422,magic rhyme,"folkloric incantation/verse form, not a genre"
Q217295,mass,"liturgical composition form, not a genre"
Q3845811,military march,"march form for military use, not a genre"
Q9049284,nenia,"funeral lament form (Latin/Italian tradition), not a genre"
Q2574657,part song,"compositional form (secular unaccompanied part-song for choir), not a genre"
Q3897519,pastorella,"musical form associated with pastoral/Christmas themes, not a genre"
Q5996073,processional march,"march form for ceremonial processions, not a genre"
Q7438911,screamer,"fast, exciting march form (e.g. Sousa-style), not a genre"
Q108631274,signal music,"functional signal call, not a genre"
Q17045570,triumphal march,"march form for triumphal/celebratory occasions, not a genre"
Q1140291,wedding march,"march form for weddings, not a genre"
Q1777052,Cyclic mass,"mass composition unified by shared musical material across movements, a compositional form (same reasoning as \"mass\"), not a genre"
Q2201558,missa ad fugam,"mass composition using fugue technique, a compositional form (same reasoning as \"mass\"), not a genre"
Q6878168,missa sine nomine,"mass composition without a named cantus firmus, a compositional form (same reasoning as \"mass\"), not a genre"
Q6941842,music for the Requiem Mass,"Requiem Mass composition form (same reasoning as \"mass\"), not a genre"
Q3307010,organ mass,"mass composed/performed for organ, a compositional form (same reasoning as \"mass\"), not a genre"
Q1468751,parody mass,"mass composition built on borrowed pre-existing music, a compositional form (same reasoning as \"mass\"), not a genre"
Q2037128,Metal Mass,"mass composition form (same reasoning as \"mass\"), not a genre"
Q116690343,ballad,"narrative song form/compositional structure, not a genre"
Q209741,programme music,"compositional technique (instrumental music following an extra-musical narrative), not a genre"
Q131693667,narrative music,"storytelling compositional technique (tension profiles, leitmotifs, subtype of programme music), not a genre"
Q137300740,programmatic symphony,"programme music subtype (symphonic form following an extra-musical narrative), not a genre"
Q1077388,sentimental ballad,"narrative song form subtype (ballad), not a genre"
Q106424145,FM synthesis,"audio synthesis technique, not a genre"
